sex,age,survived,pclass,sibsp,parch,fare,Cabin.Level
female,29.0,1.0,1.0,0.0,0.0,211.3375,B
male,0.9167,1.0,1.0,1.0,2.0,151.55,C
female,2.0,0.0,1.0,1.0,2.0,151.55,C
male,30.0,0.0,1.0,1.0,2.0,151.55,C
female,25.0,0.0,1.0,1.0,2.0,151.55,C
male,48.0,1.0,1.0,0.0,0.0,26.55,E
female,63.0,1.0,1.0,1.0,0.0,77.9583,D
male,39.0,0.0,1.0,0.0,0.0,0.0,A
female,53.0,1.0,1.0,2.0,0.0,51.4792,C
male,71.0,0.0,1.0,0.0,0.0,49.5042,
male,47.0,0.0,1.0,1.0,0.0,227.525,C
female,18.0,1.0,1.0,1.0,0.0,227.525,C
female,24.0,1.0,1.0,0.0,0.0,69.3,B
female,26.0,1.0,1.0,0.0,0.0,78.85,
male,80.0,1.0,1.0,0.0,0.0,30.0,A
male,24.0,0.0,1.0,0.0,1.0,247.5208,B
female,50.0,1.0,1.0,0.0,1.0,247.5208,B
female,32.0,1.0,1.0,0.0,0.0,76.2917,D
male,36.0,0.0,1.0,0.0,0.0,75.2417,C
male,37.0,1.0,1.0,1.0,1.0,52.5542,D
female,47.0,1.0,1.0,1.0,1.0,52.5542,D
male,26.0,1.0,1.0,0.0,0.0,30.0,C
female,42.0,1.0,1.0,0.0,0.0,227.525,
female,29.0,1.0,1.0,0.0,0.0,221.7792,C
male,25.0,0.0,1.0,0.0,0.0,26.0,
male,25.0,1.0,1.0,1.0,0.0,91.0792,B
female,19.0,1.0,1.0,1.0,0.0,91.0792,B
female,35.0,1.0,1.0,0.0,0.0,135.6333,C
male,28.0,1.0,1.0,0.0,0.0,26.55,C
male,45.0,0.0,1.0,0.0,0.0,35.5,T
male,40.0,1.0,1.0,0.0,0.0,31.0,A
female,30.0,1.0,1.0,0.0,0.0,164.8667,C
female,58.0,1.0,1.0,0.0,0.0,26.55,C
male,42.0,0.0,1.0,0.0,0.0,26.55,D
female,45.0,1.0,1.0,0.0,0.0,262.375,
female,22.0,1.0,1.0,0.0,1.0,55.0,E
male,41.0,0.0,1.0,0.0,0.0,30.5,A
male,48.0,0.0,1.0,0.0,0.0,50.4958,B
female,44.0,1.0,1.0,0.0,0.0,27.7208,B
female,59.0,1.0,1.0,2.0,0.0,51.4792,C
female,60.0,1.0,1.0,0.0,0.0,76.2917,D
female,41.0,1.0,1.0,0.0,0.0,134.5,E
male,45.0,0.0,1.0,0.0,0.0,26.55,B
male,42.0,1.0,1.0,0.0,0.0,26.2875,E
female,53.0,1.0,1.0,0.0,0.0,27.4458,
male,36.0,1.0,1.0,0.0,1.0,512.3292,B
female,58.0,1.0,1.0,0.0,1.0,512.3292,B
male,33.0,0.0,1.0,0.0,0.0,5.0,B
male,28.0,0.0,1.0,0.0,0.0,47.1,
male,17.0,0.0,1.0,0.0,0.0,47.1,
male,11.0,1.0,1.0,1.0,2.0,120.0,B
female,14.0,1.0,1.0,1.0,2.0,120.0,B
male,36.0,1.0,1.0,1.0,2.0,120.0,B
female,36.0,1.0,1.0,1.0,2.0,120.0,B
male,49.0,0.0,1.0,0.0,0.0,26.0,
male,36.0,0.0,1.0,1.0,0.0,78.85,C
female,76.0,1.0,1.0,1.0,0.0,78.85,C
male,46.0,0.0,1.0,1.0,0.0,61.175,E
female,47.0,1.0,1.0,1.0,0.0,61.175,E
male,27.0,1.0,1.0,1.0,0.0,53.1,E
female,33.0,1.0,1.0,1.0,0.0,53.1,E
female,36.0,1.0,1.0,0.0,0.0,262.375,B
female,30.0,1.0,1.0,0.0,0.0,86.5,B
male,45.0,1.0,1.0,0.0,0.0,29.7,A
male,27.0,0.0,1.0,1.0,0.0,136.7792,C
female,26.0,1.0,1.0,1.0,0.0,136.7792,C
female,22.0,1.0,1.0,0.0,0.0,151.55,
male,47.0,0.0,1.0,0.0,0.0,25.5875,E
female,39.0,1.0,1.0,1.0,1.0,83.1583,E
male,37.0,0.0,1.0,1.0,1.0,83.1583,E
female,64.0,1.0,1.0,0.0,2.0,83.1583,E
female,55.0,1.0,1.0,2.0,0.0,25.7,C
male,70.0,0.0,1.0,1.0,1.0,71.0,B
female,36.0,1.0,1.0,0.0,2.0,71.0,B
female,64.0,1.0,1.0,1.0,1.0,26.55,B
male,39.0,0.0,1.0,1.0,0.0,71.2833,C
female,38.0,1.0,1.0,1.0,0.0,71.2833,C
male,51.0,1.0,1.0,0.0,0.0,26.55,E
male,27.0,1.0,1.0,0.0,0.0,30.5,
female,33.0,1.0,1.0,0.0,0.0,151.55,
male,31.0,0.0,1.0,1.0,0.0,52.0,B
female,27.0,1.0,1.0,1.0,2.0,52.0,B
male,31.0,1.0,1.0,1.0,0.0,57.0,B
female,17.0,1.0,1.0,1.0,0.0,57.0,B
male,53.0,1.0,1.0,1.0,1.0,81.8583,A
male,4.0,1.0,1.0,0.0,2.0,81.8583,A
female,54.0,1.0,1.0,1.0,1.0,81.8583,A
male,50.0,0.0,1.0,1.0,0.0,106.425,C
female,27.0,1.0,1.0,1.0,1.0,247.5208,B
female,48.0,1.0,1.0,1.0,0.0,106.425,C
female,48.0,1.0,1.0,1.0,0.0,39.6,A
male,49.0,1.0,1.0,1.0,0.0,56.9292,A
male,39.0,0.0,1.0,0.0,0.0,29.7,A
female,23.0,1.0,1.0,0.0,1.0,83.1583,C
female,38.0,1.0,1.0,0.0,0.0,227.525,C
female,54.0,1.0,1.0,1.0,0.0,78.2667,D
female,36.0,0.0,1.0,0.0,0.0,31.6792,A
male,36.0,1.0,1.0,0.0,0.0,26.3875,E
male,30.0,0.0,1.0,0.0,0.0,27.75,C
female,24.0,1.0,1.0,3.0,2.0,263.0,C
female,28.0,1.0,1.0,3.0,2.0,263.0,C
female,23.0,1.0,1.0,3.0,2.0,263.0,C
male,19.0,0.0,1.0,3.0,2.0,263.0,C
male,64.0,0.0,1.0,1.0,4.0,263.0,C
female,60.0,1.0,1.0,1.0,4.0,263.0,C
female,30.0,1.0,1.0,0.0,0.0,56.9292,E
male,50.0,1.0,1.0,2.0,0.0,133.65,
male,43.0,1.0,1.0,1.0,0.0,27.7208,D
female,22.0,1.0,1.0,0.0,2.0,49.5,B
male,60.0,1.0,1.0,1.0,1.0,79.2,B
female,48.0,1.0,1.0,1.0,1.0,79.2,B
male,37.0,0.0,1.0,1.0,0.0,53.1,C
female,35.0,1.0,1.0,1.0,0.0,53.1,C
male,47.0,0.0,1.0,0.0,0.0,38.5,E
female,35.0,1.0,1.0,0.0,0.0,211.5,C
female,22.0,1.0,1.0,0.0,1.0,59.4,
female,45.0,1.0,1.0,0.0,1.0,59.4,
male,24.0,0.0,1.0,0.0,0.0,79.2,B
male,49.0,1.0,1.0,1.0,0.0,89.1042,C
male,71.0,0.0,1.0,0.0,0.0,34.6542,A
male,53.0,1.0,1.0,0.0,0.0,28.5,C
female,19.0,1.0,1.0,0.0,0.0,30.0,B
male,38.0,0.0,1.0,0.0,1.0,153.4625,C
female,58.0,1.0,1.0,0.0,1.0,153.4625,C
male,23.0,1.0,1.0,0.0,1.0,63.3583,D
female,45.0,1.0,1.0,0.0,1.0,63.3583,D
male,46.0,0.0,1.0,0.0,0.0,79.2,B
male,25.0,1.0,1.0,1.0,0.0,55.4417,E
female,25.0,1.0,1.0,1.0,0.0,55.4417,E
male,48.0,1.0,1.0,1.0,0.0,76.7292,D
female,49.0,1.0,1.0,1.0,0.0,76.7292,D
male,45.0,0.0,1.0,1.0,0.0,83.475,C
female,35.0,1.0,1.0,1.0,0.0,83.475,C
male,40.0,0.0,1.0,0.0,0.0,0.0,B
male,27.0,1.0,1.0,0.0,0.0,76.7292,D
female,24.0,1.0,1.0,0.0,0.0,83.1583,C
